algorithm, output_bits, input_bits, efficiency, min_entropy_input_rate
sha-384  ,  384  ,  3072  ,  0.8935  ,  0.1399
sha-384  ,  384  ,  3200  ,  0.8935  ,  0.1343
sha-384  ,  384  ,  3328  ,  0.8938  ,  0.1291
sha-384  ,  384  ,  3456  ,  0.8939  ,  0.1243
sha-384  ,  384  ,  3584  ,  0.8936  ,  0.1199
sha-384  ,  384  ,  3712  ,  0.8933  ,  0.1158
sha-384  ,  384  ,  3840  ,  0.8937  ,  0.1119
sha-384  ,  384  ,  3968  ,  0.8936  ,  0.1083
sha-384  ,  384  ,  4096  ,  0.8937  ,  0.1049
sha-384  ,  384  ,  4224  ,  0.8939  ,  0.1017
sha-384  ,  384  ,  4352  ,  0.8940  ,  0.0987
sha-384  ,  384  ,  4480  ,  0.8938  ,  0.0959
sha-384  ,  384  ,  4608  ,  0.8932  ,  0.0933
sha-384  ,  384  ,  4736  ,  0.8939  ,  0.0907
sha-384  ,  384  ,  4864  ,  0.8931  ,  0.0884
sha-384  ,  384  ,  4992  ,  0.8934  ,  0.0861
sha-384  ,  384  ,  5120  ,  0.8939  ,  0.0839
sha-384  ,  384  ,  5248  ,  0.8934  ,  0.0819
sha-384  ,  384  ,  5376  ,  0.8940  ,  0.0799
sha-384  ,  384  ,  5504  ,  0.8933  ,  0.0781
sha-384  ,  384  ,  5632  ,  0.8936  ,  0.0763
sha-384  ,  384  ,  5760  ,  0.8937  ,  0.0746
sha-384  ,  384  ,  5888  ,  0.8934  ,  0.0730
sha-384  ,  384  ,  6016  ,  0.8940  ,  0.0714
sha-384  ,  384  ,  6144  ,  0.8929  ,  0.0700
sha-512  ,  512  ,  640  ,  0.9183  ,  0.8712
sha-512  ,  512  ,  768  ,  0.9183  ,  0.7260
sha-512  ,  512  ,  896  ,  0.9183  ,  0.6223
sha-512  ,  512  ,  1024  ,  0.9183  ,  0.5445
sha-512  ,  512  ,  1152  ,  0.9183  ,  0.4840
sha-512  ,  512  ,  1280  ,  0.9183  ,  0.4356
sha-512  ,  512  ,  1408  ,  0.9183  ,  0.3960
sha-512  ,  512  ,  1536  ,  0.9183  ,  0.3630
sha-512  ,  512  ,  1664  ,  0.9182  ,  0.3351
sha-512  ,  512  ,  1792  ,  0.9181  ,  0.3112
sha-512  ,  512  ,  1920  ,  0.9183  ,  0.2904
sha-512  ,  512  ,  2048  ,  0.9181  ,  0.2723
sha-512  ,  512  ,  2176  ,  0.9180  ,  0.2563
sha-512  ,  512  ,  2304  ,  0.9183  ,  0.2420
sha-512  ,  512  ,  2432  ,  0.9181  ,  0.2293
sha-512  ,  512  ,  2560  ,  0.9183  ,  0.2178
sha-512  ,  512  ,  2688  ,  0.9180  ,  0.2075
sha-512  ,  512  ,  2816  ,  0.9183  ,  0.1980
sha-512  ,  512  ,  2944  ,  0.9182  ,  0.1894
sha-512  ,  512  ,  3072  ,  0.9183  ,  0.1815
sha-512  ,  512  ,  3200  ,  0.9180  ,  0.1743
sha-512  ,  512  ,  3328  ,  0.9179  ,  0.1676
sha-512  ,  512  ,  3456  ,  0.9179  ,  0.1614
sha-512  ,  512  ,  3584  ,  0.9181  ,  0.1556
sha-512  ,  512  ,  3712  ,  0.9183  ,  0.1502
sha-512  ,  512  ,  3840  ,  0.9183  ,  0.1452
sha-512  ,  512  ,  3968  ,  0.9177  ,  0.1406
sha-512  ,  512  ,  4096  ,  0.9178  ,  0.1362
sha-512  ,  512  ,  4224  ,  0.9183  ,  0.1320
sha-512  ,  512  ,  4352  ,  0.9177  ,  0.1282
sha-512  ,  512  ,  4480  ,  0.9180  ,  0.1245
sha-512  ,  512  ,  4608  ,  0.9183  ,  0.1210
